"CountyName","AverageIncome","CountyId","StateId"
"Kosciusko County, Indiana","30236","85","18"
"Lake County, Indiana","30318","89","18"
"LaPorte County, Indiana","26513","91","18"
"Madison County, Indiana","26094","95","18"
"Marion County, Indiana","30217","97","18"
"Monroe County, Indiana","23557","105","18"
"Morgan County, Indiana","31694","109","18"
"Porter County, Indiana","32285","127","18"
"St. Joseph County, Indiana","28149","141","18"
"Tippecanoe County, Indiana","23865","157","18"
"Vanderburgh County, Indiana","26932","163","18"
"Vigo County, Indiana","24039","167","18"
"Wayne County, Indiana","25939","177","18"
"Black Hawk County, Iowa","26869","13","19"
"Dallas County, Iowa","44424","49","19"
"Dubuque County, Iowa","30181","61","19"
"Johnson County, Iowa","30307","103","19"
"Linn County, Iowa","34358","113","19"
"Polk County, Iowa","36870","153","19"
"Pottawattamie County, Iowa","29895","155","19"
"Scott County, Iowa","32060","163","19"
"Story County, Iowa","23292","169","19"
"Woodbury County, Iowa","31118","193","19"
"Butler County, Kansas","31505","15","20"
"Douglas County, Kansas","25752","45","20"
"Johnson County, Kansas","42628","91","20"
"Leavenworth County, Kansas","28304","103","20"
"Riley County, Kansas","21247","161","20"
"Sedgwick County, Kansas","29527","173","20"
"Shawnee County, Kansas","30849","177","20"
"Wyandotte County, Kansas","27104","209","20"
"Boone County, Kentucky","36743","15","21"
"Bullitt County, Kentucky","30494","29","21"
"Campbell County, Kentucky","32151","37","21"
"Christian County, Kentucky","26986","47","21"
"Daviess County, Kentucky","25993","59","21"
"Fayette County, Kentucky","30526","67","21"
"Hardin County, Kentucky","30121","93","21"
"Jefferson County, Kentucky","30710","111","21"
"Kenton County, Kentucky","32922","117","21"
"McCracken County, Kentucky","24643","145","21"
"Madison County, Kentucky","23181","151","21"
"Oldham County, Kentucky","40889","185","21"
"Warren County, Kentucky","24016","227","21"
"Ascension Parish, Louisiana","40082","5","22"
"Bossier Parish, Louisiana","30191","15","22"
"Caddo Parish, Louisiana","23781","17","22"
"Calcasieu Parish, Louisiana","26144","19","22"
"East Baton Rouge Parish, Louisiana","28095","33","22"
"Iberia Parish, Louisiana","21716","45","22"
"Jefferson Parish, Louisiana","27150","51","22"
"Lafayette Parish, Louisiana","28347","55","22"
"Lafourche Parish, Louisiana","25658","57","22"
"Livingston Parish, Louisiana","35460","63","22"
"Orleans Parish, Louisiana","24724","71","22"
"Ouachita Parish, Louisiana","26349","73","22"
"Rapides Parish, Louisiana","26395","79","22"
"St. Landry Parish, Louisiana","20383","97","22"
"St. Tammany Parish, Louisiana","29481","103","22"
"Tangipahoa Parish, Louisiana","22735","105","22"
"Terrebonne Parish, Louisiana","26239","109","22"
"Androscoggin County, Maine","30315","1","23"
"Aroostook County, Maine","22098","3","23"
"Cumberland County, Maine","36637","5","23"
"Kennebec County, Maine","28274","11","23"
